scan_id,scan_date,scan_time,data_date,code,name,market,symbol,grade,score,reasons,close,volume,vol_ratio,dif,dea,hist,ma5,ma10,ma20,ma60,bb_upper,bb_mid,bb_lower,bb_width,buy_note,stop_note,target_note,cond_macd_gc,cond_first_red,cond_ma5_ma10_gc,cond_above_ma60,cond_ma60_up,cond_vol_expand,cond_boll_breakout,cond_price_above_ma20,ret_3d,ret_5d,ret_10d,success_5d,type,open,high,low,aggressive_buy_price,pullback_buy_price,conservative_buy_price,wave_buy_price,sell_price_1,sell_price_2,stop_loss_short,stop_loss_wave,stop_loss_hard,support_1,support_2,support_3,resistance_1,resistance_2,recent_low_20,cond_close_above_recent_high,rsi14,cond_a1_ma20_up,cond_a1_above_ma60,cond_a1_macd_first_red,cond_a1_ma5_cross_ma10,cond_a1_breakout_20d,cond_a1_vol_expand,cond_a1_red_candle,cond_a2_ma60_up,cond_a2_bullish_alignment,cond_a2_pullback_to_ma,cond_a2_macd_positive,cond_a2_vol_shrink,cond_a2_higher_lows
2026-03-21_2028,2026-03-21,2026-03-21 09:49:55,2026-03-20,2028,威致,上市,2028.TW,A,103,MACD黃金交叉、MACD第1根紅柱、5日/10日黃金交叉、站上季線、季線向上、量增、股價站上20日線,19.25,1711014,4.02,-0.1353,-0.1814,0.0461,17.95,17.76,18.29,18.19,19.73,18.29,16.84,0.1578,買點：19.25 附近可分批留意，或回踩 5/10 日線不破再觀察。,停損：跌破 10 日線 17.76 或季線 18.19 轉弱時保守處理。,目標：先看前高或布林上緣 19.73 一帶。,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-3.38,-4.42,-5.71,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_2007,2026-03-21,2026-03-21 09:49:55,2026-03-20,2007,燁興,上市,2007.TW,A,103,MACD黃金交叉、MACD第1根紅柱、5日/10日黃金交叉、站上季線、季線向上、量增、股價站上20日線,8.63,2915654,3.09,-0.0237,-0.0397,0.016,8.06,7.98,8.15,8.01,8.67,8.15,7.63,0.1273,買點：8.63 附近可分批留意，或回踩 5/10 日線不破再觀察。,停損：跌破 10 日線 7.98 或季線 8.01 轉弱時保守處理。,目標：先看前高或布林上緣 8.67 一帶。,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.51,-3.24,-7.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_2014,2026-03-21,2026-03-21 09:49:55,2026-03-20,2014,中鴻,上市,2014.TW,B,95,MACD黃金交叉、MACD第1根紅柱、站上季線、季線向上、量增、突破布林上軌、股價站上20日線,19.6,24808780,2.55,0.1927,0.0934,0.0993,18.13,17.81,17.84,17.13,19.04,17.84,16.64,0.1346,買點：若續強且不跌破 10 日線 17.81 可續觀察。,停損：跌破 20 日線 17.84 宜控管風險。,目標：先看波段壓力與布林上緣 19.04。,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-4.34,-5.1,-6.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_4968,2026-03-21,2026-03-21 09:50:39,2026-03-20,4968,立積,上市,4968.TW,B,81,MACD黃金交叉、MACD第1根紅柱、5日/10日黃金交叉、量增、股價站上20日線,113.0,3598055,2.59,-4.0649,-4.2649,0.2,107.1,105.95,112.85,120.84,127.88,112.85,97.82,0.2664,買點：若續強且不跌破 10 日線 105.95 可續觀察。,停損：跌破 20 日線 112.85 宜控管風險。,目標：先看波段壓力與布林上緣 127.88。,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-3.98,-3.98,-6.64,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_5344,2026-03-21,2026-03-21 09:50:42,2026-03-20,5344,立衛,上櫃,5344.TWO,B,75,MACD黃金交叉、MACD第1根紅柱、站上季線、量增、股價站上20日線,14.65,341806,3.36,-0.1509,-0.1867,0.0358,13.93,13.94,14.08,14.57,14.78,14.08,13.39,0.0981,買點：若續強且不跌破 10 日線 13.94 可續觀察。,停損：跌破 20 日線 14.08 宜控管風險。,目標：先看波段壓力與布林上緣 14.78。,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.68,-6.83,-6.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_3055,2026-03-21,2026-03-21 09:50:15,2026-03-20,3055,蔚華科,上市,3055.TW,B,64,MACD黃金交叉、MACD第1根紅柱、5日/10日黃金交叉,59.9,192453,0.94,-2.5691,-2.6081,0.0389,59.58,59.26,62.64,69.67,70.34,62.64,54.93,0.2461,買點：若續強且不跌破 10 日線 59.26 可續觀察。,停損：跌破 20 日線 62.64 宜控管風險。,目標：先看波段壓力與布林上緣 70.34。,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.17,-3.17,-5.68,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_6613,2026-03-21,2026-03-21 09:51:01,2026-03-20,6613,朋億*,上櫃,6613.TWO,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,210.0,1018977,2.99,1.3931,-0.2459,1.639,199.0,194.6,194.18,196.17,207.66,194.18,180.69,0.1389,買點：若續強且不跌破 10 日線 194.60 可續觀察。,停損：跌破 20 日線 194.18 宜控管風險。,目標：先看波段壓力與布林上緣 207.66。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.1,-2.14,-4.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_4991,2026-03-21,2026-03-21 09:50:39,2026-03-20,4991,環宇-KY,上櫃,4991.TWO,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,427.0,19701054,2.79,31.3538,26.9823,4.3715,366.9,345.05,336.27,258.43,406.42,336.27,266.13,0.4172,買點：若續強且不跌破 10 日線 345.05 可續觀察。,停損：跌破 20 日線 336.27 宜控管風險。,目標：先看波段壓力與布林上緣 406.42。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.34,4.45,10.19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_2349,2026-03-21,2026-03-21 09:49:59,2026-03-20,2349,錸德,上市,2349.TW,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,15.8,20051161,2.42,0.0496,-0.1802,0.2298,13.9,13.46,13.63,14.34,15.34,13.63,11.92,0.2502,買點：若續強且不跌破 10 日線 13.46 可續觀察。,停損：跌破 20 日線 13.63 宜控管風險。,目標：先看波段壓力與布林上緣 15.34。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-12.03,-13.61,-18.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_1308,2026-03-21,2026-03-21 09:49:43,2026-03-20,1308,亞聚,上市,1308.TW,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,16.5,30352412,2.41,0.518,0.3671,0.1509,15.41,15.18,14.61,13.85,16.23,14.61,12.99,0.2224,買點：若續強且不跌破 10 日線 15.18 可續觀察。,停損：跌破 20 日線 14.61 宜控管風險。,目標：先看波段壓力與布林上緣 16.23。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.3,6.97,12.73,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-21_5490,2026-03-21,2026-03-21 09:50:44,2026-03-20,5490,同亨,上櫃,5490.TWO,B,49,站上季線、季線向上、量增、突破布林上軌、股價站上20日線,29.1,2129962,1.86,0.4977,0.1421,0.3556,27.72,26.91,26.39,26.62,28.44,26.39,24.34,0.1557,買點：若續強且不跌破 10 日線 26.91 可續觀察。,停損：跌破 20 日線 26.39 宜控管風險。,目標：先看波段壓力與布林上緣 28.44。,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.86,-3.44,-9.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
